pk,generation,num_children,audio,chain,parent,game_name,chain_name,message_name,remove
115,3,1,between-category-game-a/heeh/gen-3_vBU7BHz.wav,1,24.0,between-category-game-a,heeh,gen-3_vBU7BHz.wav,0.0
47,3,1,between-category-game-a/heeh/gen-3_wJUtjep.wav,1,26.0,between-category-game-a,heeh,gen-3_wJUtjep.wav,0.0
124,3,1,between-category-game-a/heeh/gen-3_zjzAWPv.wav,1,37.0,between-category-game-a,heeh,gen-3_zjzAWPv.wav,0.0
67,4,1,between-category-game-a/heeh/gen-4.wav,1,32.0,between-category-game-a,heeh,gen-4.wav,0.0
133,4,1,between-category-game-a/heeh/gen-4_3Kjkvfx.wav,1,124.0,between-category-game-a,heeh,gen-4_3Kjkvfx.wav,0.0
128,4,1,between-category-game-a/heeh/gen-4_5n6kgPk.wav,1,115.0,between-category-game-a,heeh,gen-4_5n6kgPk.wav,0.0
83,4,1,between-category-game-a/heeh/gen-4_8xV8dSN.wav,1,51.0,between-category-game-a,heeh,gen-4_8xV8dSN.wav,1.0
104,4,1,between-category-game-a/heeh/gen-4_CNbazb7.wav,1,63.0,between-category-game-a,heeh,gen-4_CNbazb7.wav,0.0
80,4,1,between-category-game-a/heeh/gen-4_VDgqNuO.wav,1,47.0,between-category-game-a,heeh,gen-4_VDgqNuO.wav,0.0
98,4,1,between-category-game-a/heeh/gen-4_XsVGFJJ.wav,1,47.0,between-category-game-a,heeh,gen-4_XsVGFJJ.wav,0.0
97,4,1,between-category-game-a/heeh/gen-4_YnUZvt1.wav,1,32.0,between-category-game-a,heeh,gen-4_YnUZvt1.wav,0.0
74,4,1,between-category-game-a/heeh/gen-4_ZMJmoYJ.wav,1,47.0,between-category-game-a,heeh,gen-4_ZMJmoYJ.wav,0.0
117,4,1,between-category-game-a/heeh/gen-4_icuXvV8.wav,1,57.0,between-category-game-a,heeh,gen-4_icuXvV8.wav,0.0
73,4,1,between-category-game-a/heeh/gen-4_wEXVrnJ.wav,1,51.0,between-category-game-a,heeh,gen-4_wEXVrnJ.wav,0.0
86,5,1,between-category-game-a/heeh/gen-5.wav,1,74.0,between-category-game-a,heeh,gen-5.wav,0.0
92,5,1,between-category-game-a/heeh/gen-5_qilfmtV.wav,1,73.0,between-category-game-a,heeh,gen-5_qilfmtV.wav,0.0
108,5,1,between-category-game-a/heeh/gen-5_rYKctKm.wav,1,104.0,between-category-game-a,heeh,gen-5_rYKctKm.wav,0.0
1,0,1,between-category-game-a/heeh/seed.wav,1,,between-category-game-a,heeh,seed.wav,0.0
12,1,1,between-category-game-a/riri/gen-1.wav,2,2.0,between-category-game-a,riri,gen-1.wav,0.0
75,1,1,between-category-game-a/riri/gen-1_WlUl6MF.wav,2,2.0,between-category-game-a,riri,gen-1_WlUl6MF.wav,0.0
59,1,1,between-category-game-a/riri/gen-1_vDfIDG2.wav,2,2.0,between-category-game-a,riri,gen-1_vDfIDG2.wav,0.0
16,2,1,between-category-game-a/riri/gen-2.wav,2,12.0,between-category-game-a,riri,gen-2.wav,0.0
46,2,1,between-category-game-a/riri/gen-2_3GyY0VL.wav,2,12.0,between-category-game-a,riri,gen-2_3GyY0VL.wav,0.0
22,2,1,between-category-game-a/riri/gen-2_5SHkxuV.wav,2,12.0,between-category-game-a,riri,gen-2_5SHkxuV.wav,0.0
93,2,1,between-category-game-a/riri/gen-2_753CmhZ.wav,2,12.0,between-category-game-a,riri,gen-2_753CmhZ.wav,0.0
118,2,1,between-category-game-a/riri/gen-2_wZ7H42T.wav,2,12.0,between-category-game-a,riri,gen-2_wZ7H42T.wav,0.0
17,3,1,between-category-game-a/riri/gen-3.wav,2,16.0,between-category-game-a,riri,gen-3.wav,0.0
34,3,1,between-category-game-a/riri/gen-3_BjSiawE.wav,2,22.0,between-category-game-a,riri,gen-3_BjSiawE.wav,0.0
95,3,1,between-category-game-a/riri/gen-3_ZIUgPJY.wav,2,22.0,between-category-game-a,riri,gen-3_ZIUgPJY.wav,0.0
81,3,1,between-category-game-a/riri/gen-3_ZYT0o5u.wav,2,16.0,between-category-game-a,riri,gen-3_ZYT0o5u.wav,0.0
54,3,1,between-category-game-a/riri/gen-3_cKq6POO.wav,2,46.0,between-category-game-a,riri,gen-3_cKq6POO.wav,0.0
50,3,1,between-category-game-a/riri/gen-3_mVF4pAZ.wav,2,22.0,between-category-game-a,riri,gen-3_mVF4pAZ.wav,0.0
31,3,1,between-category-game-a/riri/gen-3_z2peihs.wav,2,16.0,between-category-game-a,riri,gen-3_z2peihs.wav,0.0
27,4,1,between-category-game-a/riri/gen-4.wav,2,17.0,between-category-game-a,riri,gen-4.wav,0.0
110,4,1,between-category-game-a/riri/gen-4_BI1wxum.wav,2,31.0,between-category-game-a,riri,gen-4_BI1wxum.wav,0.0
68,4,1,between-category-game-a/riri/gen-4_M0g5Y8O.wav,2,54.0,between-category-game-a,riri,gen-4_M0g5Y8O.wav,0.0
121,4,1,between-category-game-a/riri/gen-4_MQytpIG.wav,2,34.0,between-category-game-a,riri,gen-4_MQytpIG.wav,0.0
64,4,1,between-category-game-a/riri/gen-4_NHiOoqJ.wav,2,54.0,between-category-game-a,riri,gen-4_NHiOoqJ.wav,0.0
38,4,1,between-category-game-a/riri/gen-4_NV1riT1.wav,2,17.0,between-category-game-a,riri,gen-4_NV1riT1.wav,0.0
120,4,1,between-category-game-a/riri/gen-4_VOaW3d2.wav,2,81.0,between-category-game-a,riri,gen-4_VOaW3d2.wav,1.0
105,4,1,between-category-game-a/riri/gen-4_fF3tLsv.wav,2,31.0,between-category-game-a,riri,gen-4_fF3tLsv.wav,0.0
87,4,1,between-category-game-a/riri/gen-4_kiuvLel.wav,2,54.0,between-category-game-a,riri,gen-4_kiuvLel.wav,0.0
70,4,1,between-category-game-a/riri/gen-4_yziPxCA.wav,2,50.0,between-category-game-a,riri,gen-4_yziPxCA.wav,0.0
43,5,1,between-category-game-a/riri/gen-5.wav,2,27.0,between-category-game-a,riri,gen-5.wav,0.0
125,5,1,between-category-game-a/riri/gen-5_EQiu99p.wav,2,38.0,between-category-game-a,riri,gen-5_EQiu99p.wav,0.0
113,5,1,between-category-game-a/riri/gen-5_HZSWAjw.wav,2,27.0,between-category-game-a,riri,gen-5_HZSWAjw.wav,0.0
130,5,1,between-category-game-a/riri/gen-5_RaxT05N.wav,2,38.0,between-category-game-a,riri,gen-5_RaxT05N.wav,0.0
137,5,1,between-category-game-a/riri/gen-5_XpaK0G4.wav,2,64.0,between-category-game-a,riri,gen-5_XpaK0G4.wav,0.0
84,5,1,between-category-game-a/riri/gen-5_fwcWzfA.wav,2,68.0,between-category-game-a,riri,gen-5_fwcWzfA.wav,0.0
126,5,1,between-category-game-a/riri/gen-5_iEm3fEw.wav,2,120.0,between-category-game-a,riri,gen-5_iEm3fEw.wav,0.0
101,6,1,between-category-game-a/riri/gen-6.wav,2,43.0,between-category-game-a,riri,gen-6.wav,0.0
2,0,1,between-category-game-a/riri/seed.wav,2,,between-category-game-a,riri,seed.wav,0.0
11,1,1,between-category-game-a/splish/gen-1.wav,3,3.0,between-category-game-a,splish,gen-1.wav,0.0
25,1,1,between-category-game-a/splish/gen-1_EFXXXbO.wav,3,3.0,between-category-game-a,splish,gen-1_EFXXXbO.wav,0.0
36,1,1,between-category-game-a/splish/gen-1_QAumeur.wav,3,3.0,between-category-game-a,splish,gen-1_QAumeur.wav,0.0
45,1,1,between-category-game-a/splish/gen-1_aL6VC5v.wav,3,3.0,between-category-game-a,splish,gen-1_aL6VC5v.wav,0.0
20,1,1,between-category-game-a/splish/gen-1_h5Xg0cS.wav,3,3.0,between-category-game-a,splish,gen-1_h5Xg0cS.wav,0.0
52,1,1,between-category-game-a/splish/gen-1_hlBB4vd.wav,3,3.0,between-category-game-a,splish,gen-1_hlBB4vd.wav,0.0
14,1,1,between-category-game-a/splish/gen-1_n6u5au0.wav,3,3.0,between-category-game-a,splish,gen-1_n6u5au0.wav,0.0
88,1,1,between-category-game-a/splish/gen-1_qLeKBfD.wav,3,3.0,between-category-game-a,splish,gen-1_qLeKBfD.wav,0.0
19,2,1,between-category-game-a/splish/gen-2.wav,3,14.0,between-category-game-a,splish,gen-2.wav,0.0
61,2,1,between-category-game-a/splish/gen-2_1vtUGlN.wav,3,52.0,between-category-game-a,splish,gen-2_1vtUGlN.wav,0.0
127,2,1,between-category-game-a/splish/gen-2_F5iyNtV.wav,3,45.0,between-category-game-a,splish,gen-2_F5iyNtV.wav,0.0
28,2,1,between-category-game-a/splish/gen-2_KohLXp8.wav,3,20.0,between-category-game-a,splish,gen-2_KohLXp8.wav,0.0
79,2,1,between-category-game-a/splish/gen-2_PhFTvbq.wav,3,11.0,between-category-game-a,splish,gen-2_PhFTvbq.wav,0.0
49,2,1,between-category-game-a/splish/gen-2_XfuVBNY.wav,3,20.0,between-category-game-a,splish,gen-2_XfuVBNY.wav,0.0
109,2,1,between-category-game-a/splish/gen-2_Yn48UQz.wav,3,36.0,between-category-game-a,splish,gen-2_Yn48UQz.wav,0.0
122,2,1,between-category-game-a/splish/gen-2_aWQbtKN.wav,3,11.0,between-category-game-a,splish,gen-2_aWQbtKN.wav,0.0
40,2,1,between-category-game-a/splish/gen-2_jxUKTad.wav,3,25.0,between-category-game-a,splish,gen-2_jxUKTad.wav,0.0
76,2,1,between-category-game-a/splish/gen-2_nfi3WG0.wav,3,25.0,between-category-game-a,splish,gen-2_nfi3WG0.wav,0.0
99,2,1,between-category-game-a/splish/gen-2_wkbnoYh.wav,3,88.0,between-category-game-a,splish,gen-2_wkbnoYh.wav,0.0
44,3,1,between-category-game-a/splish/gen-3.wav,3,40.0,between-category-game-a,splish,gen-3.wav,0.0
136,3,1,between-category-game-a/splish/gen-3_45pqQq7.wav,3,79.0,between-category-game-a,splish,gen-3_45pqQq7.wav,0.0
69,3,1,between-category-game-a/splish/gen-3_RNzOx6u.wav,3,40.0,between-category-game-a,splish,gen-3_RNzOx6u.wav,0.0
96,3,1,between-category-game-a/splish/gen-3_cUrNfad.wav,3,40.0,between-category-game-a,splish,gen-3_cUrNfad.wav,0.0
119,3,1,between-category-game-a/splish/gen-3_oOMUF9Z.wav,3,79.0,between-category-game-a,splish,gen-3_oOMUF9Z.wav,0.0
56,4,1,between-category-game-a/splish/gen-4.wav,3,44.0,between-category-game-a,splish,gen-4.wav,0.0
65,5,1,between-category-game-a/splish/gen-5.wav,3,56.0,between-category-game-a,splish,gen-5.wav,0.0
89,5,1,between-category-game-a/splish/gen-5_OxWvTI8.wav,3,56.0,between-category-game-a,splish,gen-5_OxWvTI8.wav,0.0
72,6,1,between-category-game-a/splish/gen-6.wav,3,65.0,between-category-game-a,splish,gen-6.wav,0.0
112,6,1,between-category-game-a/splish/gen-6_BsuFi4g.wav,3,89.0,between-category-game-a,splish,gen-6_BsuFi4g.wav,0.0
106,6,1,between-category-game-a/splish/gen-6_GtzLuFG.wav,3,65.0,between-category-game-a,splish,gen-6_GtzLuFG.wav,0.0
132,6,1,between-category-game-a/splish/gen-6_LIl50nU.wav,3,89.0,between-category-game-a,splish,gen-6_LIl50nU.wav,0.0
90,7,1,between-category-game-a/splish/gen-7.wav,3,72.0,between-category-game-a,splish,gen-7.wav,1.0
3,0,1,between-category-game-a/splish/seed.wav,3,,between-category-game-a,splish,seed.wav,0.0
7,1,1,test-game/test-chain-1/gen-1.wav,5,5.0,test-game,test-chain-1,gen-1.wav,0.0
102,1,1,test-game/test-chain-1/gen-1_cN0aCnI.wav,5,5.0,test-game,test-chain-1,gen-1_cN0aCnI.wav,0.0
5,0,1,test-game/test-chain-1/seed.wav,5,,test-game,test-chain-1,seed.wav,0.0
8,1,1,test-game/test-chain-2/gen-1.wav,6,6.0,test-game,test-chain-2,gen-1.wav,0.0
100,1,1,test-game/test-chain-2/gen-1_lZrb7Gp.wav,6,6.0,test-game,test-chain-2,gen-1_lZrb7Gp.wav,0.0
6,0,1,test-game/test-chain-2/seed.wav,6,,test-game,test-chain-2,seed.wav,0.0
146,1,1,within-category-game-a/spliff/gen-1.wav,8,139.0,within-category-game-a,spliff,gen-1.wav,0.0
