message_id,generation,num_children,audio,chain_id,parent_id,game_name,chain_name,message_name
377,5,0,between-category-game-a/frip/gen-5_xqimyMb.wav,4,66.0,between-category-game-a,frip,gen-5_xqimyMb.wav
425,5,0,between-category-game-a/frip/gen-5_yAOjX18.wav,4,281.0,between-category-game-a,frip,gen-5_yAOjX18.wav
342,6,0,between-category-game-a/frip/gen-6.wav,4,285.0,between-category-game-a,frip,gen-6.wav
499,6,1,between-category-game-a/frip/gen-6_5qt5RhP.wav,4,412.0,between-category-game-a,frip,gen-6_5qt5RhP.wav
437,6,0,between-category-game-a/frip/gen-6_DeDyr63.wav,4,425.0,between-category-game-a,frip,gen-6_DeDyr63.wav
495,6,0,between-category-game-a/frip/gen-6_SJ4qHNq.wav,4,377.0,between-category-game-a,frip,gen-6_SJ4qHNq.wav
384,6,0,between-category-game-a/frip/gen-6_n2ntzZG.wav,4,323.0,between-category-game-a,frip,gen-6_n2ntzZG.wav
361,6,0,between-category-game-a/frip/gen-6_x38D732.wav,4,351.0,between-category-game-a,frip,gen-6_x38D732.wav
405,7,0,between-category-game-a/frip/gen-7.wav,4,342.0,between-category-game-a,frip,gen-7.wav
464,7,1,between-category-game-a/frip/gen-7_UdrQMYN.wav,4,437.0,between-category-game-a,frip,gen-7_UdrQMYN.wav
420,7,1,between-category-game-a/frip/gen-7_fpbsHUD.wav,4,384.0,between-category-game-a,frip,gen-7_fpbsHUD.wav
527,7,1,between-category-game-a/frip/gen-7_hEzu2RC.wav,4,495.0,between-category-game-a,frip,gen-7_hEzu2RC.wav
504,7,1,between-category-game-a/frip/gen-7_ulih8HO.wav,4,361.0,between-category-game-a,frip,gen-7_ulih8HO.wav
482,8,1,between-category-game-a/frip/gen-8.wav,4,405.0,between-category-game-a,frip,gen-8.wav
4,0,0,between-category-game-a/frip/seed.wav,4,,between-category-game-a,frip,seed.wav
9,1,0,between-category-game-a/heeh/gen-1.wav,1,1.0,between-category-game-a,heeh,gen-1.wav
10,1,0,between-category-game-a/heeh/gen-1_FaJz3er.wav,1,1.0,between-category-game-a,heeh,gen-1_FaJz3er.wav
297,1,0,between-category-game-a/heeh/gen-1_SQbVRYW.wav,1,1.0,between-category-game-a,heeh,gen-1_SQbVRYW.wav
21,1,0,between-category-game-a/heeh/gen-1_gJ6Yocu.wav,1,1.0,between-category-game-a,heeh,gen-1_gJ6Yocu.wav
24,2,0,between-category-game-a/heeh/gen-2.wav,1,21.0,between-category-game-a,heeh,gen-2.wav
26,2,0,between-category-game-a/heeh/gen-2_IF1Lm9g.wav,1,10.0,between-category-game-a,heeh,gen-2_IF1Lm9g.wav
428,2,0,between-category-game-a/heeh/gen-2_MHh0DSs.wav,1,297.0,between-category-game-a,heeh,gen-2_MHh0DSs.wav
53,2,0,between-category-game-a/heeh/gen-2_fmCtt9i.wav,1,9.0,between-category-game-a,heeh,gen-2_fmCtt9i.wav
37,2,0,between-category-game-a/heeh/gen-2_i4mNWbb.wav,1,10.0,between-category-game-a,heeh,gen-2_i4mNWbb.wav
39,2,0,between-category-game-a/heeh/gen-2_rzbljWw.wav,1,21.0,between-category-game-a,heeh,gen-2_rzbljWw.wav
35,2,0,between-category-game-a/heeh/gen-2_y4GsqGN.wav,1,10.0,between-category-game-a,heeh,gen-2_y4GsqGN.wav
32,3,0,between-category-game-a/heeh/gen-3.wav,1,24.0,between-category-game-a,heeh,gen-3.wav
51,3,0,between-category-game-a/heeh/gen-3_E7w6oF8.wav,1,35.0,between-category-game-a,heeh,gen-3_E7w6oF8.wav
63,3,0,between-category-game-a/heeh/gen-3_FAV8Jmo.wav,1,39.0,between-category-game-a,heeh,gen-3_FAV8Jmo.wav
452,3,1,between-category-game-a/heeh/gen-3_f3wnABz.wav,1,428.0,between-category-game-a,heeh,gen-3_f3wnABz.wav
57,3,0,between-category-game-a/heeh/gen-3_pGZTbM2.wav,1,24.0,between-category-game-a,heeh,gen-3_pGZTbM2.wav
135,3,0,between-category-game-a/heeh/gen-3_qettZZw.wav,1,26.0,between-category-game-a,heeh,gen-3_qettZZw.wav
115,3,0,between-category-game-a/heeh/gen-3_vBU7BHz.wav,1,24.0,between-category-game-a,heeh,gen-3_vBU7BHz.wav
